Name,Abbrev,Place,Id,Code,Department,Authors,Score 3 Yr,Score Overall
Universitas Multimedia Nusantara,UMN,"KAB. TANGERANG - BANTEN, ID",1097,031051,16,271,42149,79922
Universitas Islam Negeri Sunan Gunung Djati Bandung,UINBANDUNG,"KOTA BANDUNG - JAWA BARAT, ID",3511,201004,67,683,41694,93082
Institut Teknologi Nasional Malang,ITN,"KOTA MALANG - JAWA TIMUR, ID",2121,072004,16,192,41297,106108
Politeknik Negeri Semarang,POLINES,"KOTA SEMARANG - JAWA TENGAH, ID",12,005005,27,375,40853,108827
Politeknik Negeri Samarinda,POLNES,"KOTA SAMARINDA - KALIMANTAN TIMUR, ID",561,005026,42,258,40670,53813
Universitas Cenderawasih,UNCEN,"KOTA JAYAPURA - P A P U A, ID",489,001018,86,647,40213,75584
Universitas Mahasaraswati Denpasar,UNMAS,"KOTA DENPASAR - BALI, ID",2365,081003,25,420,39816,77958
Universitas Dian Nuswantoro,UDINUS,"KOTA SEMARANG - JAWA TENGAH, ID",20,061031,24,380,39391,100707
Universitas Islam Kalimantan Muhammad Arsyad Al Banjari,UNISKAMABBANJARMASIN,"KOTA BANJARMASIN - KALIMANTAN SELATAN, ID",3134,111003,26,378,39158,83972
Universitas Pattimura,UNPATTI,"KOTA AMBON - MALUKU, ID",492,001021,94,1107,38958,123547
Universitas Muhammadiyah Surabaya,UMSURABAYA,"KOTA SURABAYA - JAWA TIMUR, ID",2043,071012,36,289,38724,75550
Universitas Widyatama,UTAMA,"KOTA BANDUNG - JAWA BARAT, ID",1422,041034,24,279,38591,63189
Universitas Langlang Buana,UNLA,"KOTA BANDUNG - JAWA BARAT, ID",1404,041015,19,230,38566,78688
Universitas PGRI Palembang,UPGRIP,"KOTA PALEMBANG - SUMATERA SELATAN, ID",848,021016,28,303,38452,66460
Universitas Dehasen Bengkulu,UNIVED,"KOTA BENGKULU - BENGKULU, ID",854,021023,24,208,38443,56395
Universitas Prima Indonesia,UNPRI,"KOTA MEDAN - SUMATERA UTARA, ID",600,011033,42,533,38294,75380
Universitas PGRI Madiun,UNIPMA,"KOTA MADIUN - JAWA TIMUR, ID",2125,071091,27,302,38070,79974
Universitas Muhammadiyah Gresik,UMG,"KAB. GRESIK - JAWA TIMUR, ID",2087,071059,36,194,37672,66201
Institut Teknologi Sumatera,ITERA,"KAB. LAMPUNG SELATAN - LAMPUNG, ID",537,002014,40,430,37236,78979
Universitas Muhammadiyah Semarang,UNIMUS,"KOTA SEMARANG - JAWA TENGAH, ID",52,061026,28,275,37108,86964
Politeknik Negeri Sriwijaya,POLSRI,"KOTA PALEMBANG - SUMATERA SELATAN, ID",542,005006,39,354,36104,78255
Universitas Siliwangi,UNSIL,"KOTA TASIKMALAYA - JAWA BARAT, ID",520,001057,31,380,35622,84133
