Affiliations,Level,Department,Authors,Code ,Score 3 Yr,Score Overall
Universitas Gadjah Mada,S2,Magister Ketahanan Nasional,3,95128,76,84
Universitas Gadjah Mada,S1,Sastra Prancis,8,79205,74,129
Universitas Gadjah Mada,Sp2,Anestesiologi Dan Terapi Intensif,5,11807,73,73
Universitas Gadjah Mada,D3,Teknik Geomatika,6,29401,71,211
Universitas Gadjah Mada,Sp1,Bedah Mulut dan Maksilofasial,6,12701,61,71
Universitas Gadjah Mada,D3,Akuntansi,5,62401,60,60
Universitas Gadjah Mada,D3,Bahasa Inggris,7,79402,59,59
Universitas Gadjah Mada,D4,Sistem Informasi Geografis,5,51301,54,158
Universitas Gadjah Mada,S3,Doktor Ilmu Hukum,10,74001,51,264
Universitas Gadjah Mada,S2,Magister Hukum Litigasi,3,74103,46,120
Universitas Gadjah Mada,S3,Doktor Filsafat,7,75001,38,138
Universitas Gadjah Mada,D4,Perbankan,7,61314,36,246
Universitas Gadjah Mada,D3,Komputer dan Sistem Informasi,4,57401,22,294
Universitas Gadjah Mada,S3,Doktor Sosiologi,6,69001,18,128
Universitas Gadjah Mada,Sp1,Kedokteran Gigi Anak,6,12704,11,275
Universitas Gadjah Mada,D3,Ekonomika Terapan,5,95403,9,9
Universitas Gadjah Mada,D4,Bisnis Perjalanan Wisata,6,93301,7,7
Universitas Gadjah Mada,Sp1,Obstetri dan Ginekologi,8,11708,6,43
Universitas Gadjah Mada,D3,Manajemen,5,61404,6,26
Universitas Gadjah Mada,D3,Bahasa Korea,5,79410,4,4
Universitas Gadjah Mada,D3,Rekam Medis dan Informasi Kesehatan,2,13462,2,42
Universitas Gadjah Mada,S2,Magister Hukum Bisnis dan Kenegaraan,1,74105,1,1
Universitas Gadjah Mada,D3,Bahasa Mandarin,0,79409,0,0
Universitas Gadjah Mada,S2,Magister Rancang Kota,0,35102,0,0
Universitas Gadjah Mada,Pro,Profesi Insinyur Kehutanan,0,23904,0,0
Universitas Gadjah Mada,S3,Doktor Pembangunan Sosial Dan Kesejahteraan,0,72001,0,0
Universitas Gadjah Mada,S3,Doktor Perencanaan Wilayah dan Kota,0,35001,0,0
Universitas Gadjah Mada,S3,Doktor Perekonomian Islam dan Industri Halal,1,60002,0,0
Universitas Gadjah Mada,D4,Kebidanan,0,15301,0,0
Universitas Gadjah Mada,D3,Bahasa Prancis,0,79405,0,0
Universitas Indonesia,S1,Sistem Informasi,14,57201,19056,42742
Universitas Indonesia,S2,Teknik Mesin,6,21101,15037,56383
Universitas Indonesia,S2,Teknologi Informasi,12,55101,14862,36919
Universitas Indonesia,S2,Matematika,8,44101,14723,30973
Universitas Indonesia,S1,Teknik Mesin,16,21201,13674,33598
Universitas Indonesia,S1,Teknik Kimia,15,24201,12653,34556
Universitas Indonesia,S1,Pendidikan Dokter,70,11201,12377,39700
Universitas Indonesia,S2,Ilmu Gizi,5,13111,12074,16836
Universitas Indonesia,Sp2,Ilmu Penyakit Dalam,26,11802,11727,43707
Universitas Indonesia,S1,Kimia,16,47201,11166,27932
Universitas Indonesia,S3,Ilmu Kimia,7,47001,10881,33178
Universitas Indonesia,S1,Teknik Elektro,15,20201,10418,25149
Universitas Indonesia,Sp1,Obstetri dan Ginekologi,32,11716,10281,30735
Universitas Indonesia,S2,Ilmu Material,6,28101,10237,25080
Universitas Indonesia,S3,Teknik Industri,5,26001,10137,18201
Universitas Indonesia,Sp1,Ilmu Penyakit Dalam,30,11702,9995,26502
Universitas Indonesia,S2,Ilmu Kimia,7,47101,9896,24670
Universitas Indonesia,S3,Ilmu Komputer,7,55001,9241,38314
Universitas Indonesia,S1,Teknologi Bioproses,8,25202,9132,21640
Universitas Indonesia,Pro,Pendidikan Profesi Insinyur,8,23902,9087,25720
Universitas Indonesia,S2,Ilmu Keperawatan,10,14101,8691,14377
Universitas Indonesia,S1,Geografi,16,51201,8667,13259
Universitas Indonesia,Sp1,Ilmu Penyakit Jantung,21,11715,8611,34039
Universitas Indonesia,S3,Ilmu Biomedik,12,11002,8565,31933
Universitas Indonesia,Pro,Profesi Dokter,29,11901,8521,26403
Universitas Indonesia,S1,Teknik Perkapalan,9,36201,8291,22492
Universitas Indonesia,S2,Magister Manajemen,28,61102,8182,15723
Universitas Indonesia,S3,Fisika,6,45001,7957,32006
Universitas Indonesia,S2,Ilmu Biomedik,22,11101,7939,25043
Universitas Indonesia,S3,Teknik Mesin,8,21001,7878,22585
Universitas Indonesia,S3,Teknik Elektro,6,20001,7595,23211
Universitas Indonesia,S1,Teknik Industri,15,26201,7517,13719
Universitas Indonesia,S2,Geografi,7,51101,7289,11458
Universitas Indonesia,S2,Biologi,8,46101,6920,17802
Universitas Indonesia,S2,Ilmu Fisika,6,45101,6885,13275
Universitas Indonesia,S3,Ilmu Bahan-bahan,6,28001,6851,34904
Universitas Indonesia,S3,Teknik Sipil,8,22001,6829,18462
Universitas Indonesia,S3,Biologi,6,46001,6799,15403
Universitas Indonesia,Sp1,Ilmu Penyakit Paru,18,11709,6663,15207
Universitas Indonesia,S2,Ilmu Kelautan,6,54141,6636,10585
